OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;longueur;largeur;hauteur;Volume;Volume_Formule;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
79;1;78;;;;;2023/08/02 10:58:00.483;"{""Pl""}";10;M;18;1.5;2;54;#VALEUR!;1;60;20;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;8806;cp;2016;5;8500
80;1;79;;;;;2023/08/02 11:03:35.495;"{""Pl""}";5;M;8;4;2;64;64;2;30;45;25;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;8806;cp;2016;5;8500
81;1;80;;;;;2023/08/02 11:13:45.112;"{""Pl""}";10;M;25.4;8.3;1;210.82;#VALEUR!;1;70;25;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;8806;cp;2016;5;8500
82;1;81;;;;;2023/08/02 11:18:44.753;"{""Pl""}";1;M;10;8.4;1;84;#VALEUR!;1;75;15;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;8806;cp;2016;5;8500
83;1;82;;;;;2023/08/02 11:21:14.298;"{""Pl""}";1;M;8;2;1;16;16;1;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;8806;cp;2016;5;8500
84;1;83;;;;;2023/08/02 11:26:52.442;"{""Ch""}";10;M;12.6;9.5;1;119.7;#VALEUR!;1;60;30;10;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;8806;cp;2016;5;8500
85;1;84;;;;;2023/08/02 11:30:25.218;"{""Pl""}";1;M;11.3;3;3;101.7;#VALEUR!;1;50;30;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;8806;cp;2016;5;8500
86;1;85;;;;;2023/08/02 11:41:30.312;"{""Pl""}";1;M;12.3;1;1;12.3;#VALEUR!;1;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;8806;cp;2016;5;9000
87;1;86;;;;;2023/08/02 11:44:43.030;"{""Pl""}";10;M;8;8.1;5;324;#VALEUR!;3;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;8806;cp;2016;5;9000
88;1;87;;;;;2023/08/02 11:52:03.495;"{""Pl""}";10;M;30;5;4;600;600;3;50;30;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;8806;cp;2016;5;9000
89;1;88;;;;;2023/08/02 12:27:24.288;"{""Pl""}";15;M;33.9;40.7;5;6898.65;#VALEUR!;3;50;35;15;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;8806;cp;2016;5;9500
90;1;89;;;;;2023/08/02 12:36:36.327;"{""Pl""}";5;M;15;12.3;1;184.5;#VALEUR!;1;75;15;10;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;8806;cp;2016;5;9500
91;1;90;;;;;2023/08/02 12:38:57.131;"{""Pl""}";1;M;44.1;1;1;44.1;#VALEUR!;1;60;25;15;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;8806;cp;2016;5;9500
92;1;91;;;;;2023/08/02 13:01:27.034;"{""Pl""}";1;M;18.4;1;1;18.4;#VALEUR!;1;75;15;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
93;1;92;;;;;2023/08/02 13:04:23.821;"{""Ch""}";1;M;14.8;1;0.5;7.4;#VALEUR!;1;75;20;5;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
94;1;93;;;;;2023/08/02 13:06:34.301;"{""Pl""}";3;M;36.4;15.5;1;564.2;#VALEUR!;3;70;15;15;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
95;1;94;;;;;2023/08/02 13:10:31.641;"{""Pl""}";20;M;32.8;2.5;1.5;123;#VALEUR!;2;60;25;15;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
96;1;95;;;;;2023/08/02 13:14:14.100;"{""Pl""}";10;M;151.7;30;2;9102;#VALEUR!;2;60;30;10;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
97;1;96;;;;;2023/08/02 13:21:15.199;"{""Bc""}";3;M;13.9;6.4;1;88.96;#VALEUR!;2;60;35;5;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;8806;cp;2016;5;9500
98;1;97;;;;;2023/08/02 13:23:07.992;"{""Bc""}";1;M;10.6;7;0.5;37.1;#VALEUR!;1;75;15;10;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
99;1;98;;;;;2023/08/02 13:38:49.989;"{""Pl""}";5;M;24.2;1;1;24.2;#VALEUR!;2;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
100;1;99;;;;;2023/08/02 13:41:12.946;"{""Pl""}";5;M;31;1;1;31;31;2;60;25;15;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
101;1;100;;;;;2023/08/02 13:43:14.181;"{""Pl""}";10;M;13.9;2;2;55.6;#VALEUR!;2;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;8806;cp;2016;5;10000
102;1;101;;;;;2023/08/02 13:46:15.934;"{""Pl""}";10;M;52.6;3;2;315.6;#VALEUR!;3;55;35;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
103;1;102;;;;;2023/08/02 13:58:20.563;"{""Bc""}";10;M;25.6;22;1;563.2;#VALEUR!;2;60;25;15;"{""C"".""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
104;1;103;;;;;2023/08/02 14:01:14.264;"{""Pl""}";15;M;97.3;52.6;3;15353.94;#VALEUR!;3;55;35;10;"{""RD"".""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
105;1;104;;;;;2023/08/02 14:06:52.258;"{""Pl""}";1;M;13.7;4;1.3;71.24;#VALEUR!;2;50;40;10;"{""C"".""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
106;1;105;;;;;2023/08/02 14:09:46.102;"{""Pl""}";5;M;15;3;0.8;36;#VALEUR!;2;25;50;25;"{""RD"".""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
107;1;106;;;;;2023/08/02 14:11:41.157;"{""Pl""}";5;M;15.8;3.8;0.8;48.032;#VALEUR!;2;50;35;15;"{""RD"".""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
108;1;107;;;;;2023/08/02 14:14:52.959;"{""Pl""}";1;M;21.6;1.4;0.6;18.144;#VALEUR!;1;30;50;20;"{""C"".""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
109;1;108;;;;;2023/08/02 14:17:19.477;"{""Pl""}";10;M;39.4;15.7;1;618.58;#VALEUR!;2;45;45;10;"{""C"".""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
110;1;109;;;;;2023/08/02 14:19:49.902;"{""Pl""}";5;M;13.6;3.7;1.2;60.384;#VALEUR!;2;40;30;30;"{""C"".""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
111;1;110;;;;;2023/08/02 14:21:55.607;"{""Pl""}";15;M;86.4;16.4;2;2833.92;#VALEUR!;2;45;35;20;"{""RD"".""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
112;1;111;;;;;2023/08/02 14:39:59.825;"{""Pl""}";3;M;12;2;2;48;48;1;40;35;25;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;8806;cp;2016;5;11000
113;1;112;;;;;2023/08/02 14:45:38.110;"{""Bc""}";30;M;29.8;19.1;2;1138.36;#VALEUR!;2;65;25;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;8806;cp;2016;5;11000
114;1;113;;;;;2023/08/02 14:48:54.268;"{""Pl""}";15;M;37.8;18.5;4;2797.2;#VALEUR!;3;60;35;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;8806;cp;2016;5;11000
115;1;114;;;;;2023/08/02 15:13:37.859;"{""Pl""}";5;M;12.6;9.4;2;236.88;#VALEUR!;3;60;35;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;8806;cp;2016;5;11500
116;1;115;;;;;2023/08/02 15:15:41.302;"{""Pl""}";10;M;54.2;20;1.2;1300.8;#VALEUR!;3;35;55;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;8806;cp;2016;5;11500
117;1;116;;;;;2023/08/02 15:18:17.426;"{""Pl""}";20;M;88.2;14;3;3704.4;#VALEUR!;3;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;8806;cp;2016;5;11500
118;1;117;;;;;2023/08/03 09:50:31.291;"{""Bc""}";15;M;35;30;5;5250;5250;3;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;8806;cp;2016;5;12000
119;1;118;;;;;2023/08/03 09:55:52.098;"{""Bc""}";5;M;25;1.5;0.8;30;#VALEUR!;2;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;8806;cp;2016;5;12000
120;1;119;;;;;2023/08/03 09:59:06.405;"{""Bc""}";1;M;18;2;1.5;54;#VALEUR!;3;40;20;40;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;8806;cp;2016;5;12000
121;1;120;;;;;2023/08/03 10:04:21.891;"{""Pl""}";20;M;36;10;2;720;720;3;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;8806;cp;2016;5;12000
122;1;121;;;;;2023/07/31 15:13:58.653;"{""Ch""}";5;M;11;4;1;44;44;1;70;10;20;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;8806;cp;2016;5;29500
123;1;122;;;;;2023/07/31 15:24:50.332;"{""Pl""}";5;D;43;8;2;688;688;3;20;70;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;8806;cp;2016;5;29500
124;1;123;;;;;2023/07/31 15:30:49.648;"{""Pl""}";10;M;13.2;4;2.5;132;#VALEUR!;2;70;25;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;8806;cp;2016;5;29500
125;1;124;;;;;2023/07/31 15:38:48.957;"{""Ch""}";40;M;52.8;44;3.5;8131.2;#VALEUR!;3;40;30;30;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
126;1;125;;;;;2023/07/31 15:50:39.388;"{""Bc""}";25;M;2.2;19;0.7;29.26;#VALEUR!;2;70;15;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
127;1;126;;;;;2023/07/31 15:54:40.294;"{""Bc""}";20;M;14;9;1.2;151.2;#VALEUR!;2;50;25;25;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
128;1;127;;;;;2023/07/31 15:58:01.353;"{""Pl""}";5;D;10.3;4;2;82.4;#VALEUR!;3;70;10;20;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
129;1;128;;;;;2023/07/31 16:02:34.098;"{""Pl""}";5;D;19;3;2;114;114;2;80;5;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
130;1;129;;;;;2023/07/31 16:06:44.368;"{""Pl""}";5;D;28.4;6;1.8;306.72;#VALEUR!;2;80;5;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
131;1;130;;;;;2023/07/31 16:11:53.105;"{""Bc""}";5;M;29.5;2;0.7;41.3;#VALEUR!;1;70;25;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
132;1;131;;;;;2023/07/31 16:16:19.151;"{""Pl""}";5;D;5.7;7.5;1.5;64.125;#VALEUR!;3;90;5;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
133;1;132;;;;;2023/07/31 16:20:27.921;"{""Pl""}";5;D;15;2;0.7;21;#VALEUR!;2;70;25;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
134;1;133;;;;;2023/07/31 16:24:40.514;"{""Pl""}";5;D;12;9.3;0.4;44.64;#VALEUR!;1;80;15;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
135;1;134;;;;;2023/07/31 16:28:44.006;"{""Pl""}";5;M;27.2;2.5;1;68;#VALEUR!;3;80;10;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
136;1;135;;;;;2023/07/31 16:32:49.200;"{""Bc""}";5;M;82.5;3;0.5;123.75;#VALEUR!;2;40;50;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
137;1;136;;;;;2023/07/31 16:39:38.635;"{""Bc""}";5;M;17.8;2;1;35.6;#VALEUR!;2;40;40;20;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
138;1;137;;;;;2023/07/31 16:42:36.800;"{""Bc""}";10;P;15.7;6.7;1.7;178.823;#VALEUR!;1;40;30;30;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
139;1;138;;;;;2023/07/31 16:45:44.590;"{""Bc""}";5;M;44.2;3;0.4;53.04;#VALEUR!;2;20;70;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
140;1;139;;;;;2023/07/31 16:50:20.731;"{""Bc""}";20;M;12;18;5;1080;1080;3;80;15;5;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;8806;cp;2016;5;30500
141;1;140;;;;;2023/07/31 16:58:37.626;"{""Bc""}";5;M;33;4.5;1.3;193.05;#VALEUR!;1;55;25;20;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
142;1;141;;;;;2023/08/01 10:06:44.508;"{""Pl""}";1;M;16;4;2;128;128;2;45;50;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;8806;cp;2016;5;1000
143;1;142;;;;;2023/08/01 10:18:05.462;"{""Pl""}";2;M;24.4;5.6;1;136.64;#VALEUR!;2;25;70;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;8806;cp;2016;5;1000
144;1;143;;;;;2023/08/01 10:22:52.040;"{""Pl""}";1;M;10.5;4;0.8;33.6;#VALEUR!;3;20;70;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;8806;cp;2016;5;1000
145;1;144;;;;;2023/08/01 10:31:50.891;"{""Pl""}";2;M;12;2.4;1.4;40.32;#VALEUR!;2;35;60;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
146;1;145;;;;;2023/08/01 10:38:45.373;"{""Ch""}";1;M;15;3.6;1.4;75.6;#VALEUR!;2;15;75;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
147;1;146;;;;;2023/08/01 10:44:37.789;"{""Ch""}";2;M;9;2;1;18;18;1;75;5;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
148;1;147;;;;;2023/08/01 10:48:07.369;"{""Ch""}";3;P;19;2.2;1.2;50.16;#VALEUR!;1;70;20;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
149;1;148;;;;;2023/08/01 10:53:49.584;"{""Ch""}";1;D;8;2.2;0.9;15.84;#VALEUR!;1;60;35;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
150;1;149;;;;;2023/08/01 11:03:20.872;"{""Bc""}";2;M;17;6.2;1.6;168.64;#VALEUR!;2;65;35;;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
151;1;150;;;;;2023/08/01 11:09:41.506;"{""Ch""}";15;P;4;11.4;1.6;72.96;#VALEUR!;2;20;75;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
152;1;151;;;;;2023/08/01 11:13:43.907;"{""Ch""}";35;M;4.5;21.5;2;193.5;#VALEUR!;2;20;80;;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
153;1;152;;;;;2023/08/01 11:20:22.456;"{""Ch""}";3;M;2;7;1;14;14;2;65;25;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
154;1;153;;;;;2023/08/01 11:24:29.806;"{""Ch""}";1;D;2;5;2;20;20;3;30;60;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
155;1;154;;;;;2023/08/01 11:29:59.362;"{""Ch""}";5;M;9;4;1.5;54;#VALEUR!;3;55;40;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
156;1;155;;;;;2023/08/01 11:34:12.956;"{""Bc""}";5;M;15;20;1.5;450;#VALEUR!;2;70;5;25;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
157;1;156;;;;;2023/08/01 12:39:00.130;"{""Ch""}";5;D;3;5;1;15;15;2;70;25;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;8806;cp;2016;5;3000
158;1;157;;;;;2023/08/01 12:51:00.451;"{""Ch""}";10;M;6.4;5;1;32;#VALEUR!;2;80;15;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;8806;cp;2016;5;3000
159;1;158;;;;;2023/08/01 13:17:43.163;"{""Ch""}";5;P;22;2.5;1;55;#VALEUR!;1;80;15;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;8806;cp;2016;5;3500
160;1;159;;;;;2023/08/01 13:23:18.367;"{""Ch""}";10;M;13.2;4;2;105.6;#VALEUR!;2;70;20;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
161;1;160;;;;;2023/08/01 13:30:37.678;"{""Bc""}";5;D;20;7;1;140;140;2;50;40;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
162;1;161;;;;;2023/08/01 13:34:14.607;"{""Bc""}";15;M;3;14.3;2;85.8;#VALEUR!;2;70;20;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;8806;cp;2016;5;4000
163;1;162;;;;;2023/08/01 13:44:04.759;"{""Bc""}";1;M;26.3;1.5;1.5;59.175;#VALEUR!;1;90;5;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
164;1;163;;;;;2023/08/01 13:51:57.103;"{""Bc""}";5;P;19.2;6.7;2;257.28;#VALEUR!;1;80;5;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
165;1;164;;;;;2023/08/01 13:56:16.555;"{""Ch""}";5;M;20.5;4;1.7;139.4;#VALEUR!;1;70;20;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
166;1;165;;;;;2023/08/01 14:08:02.024;"{""Bc""}";5;M;1.4;12.4;1;17.36;#VALEUR!;2;70;25;5;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
167;1;166;;;;;2023/08/01 14:13:13.270;"{""Bc""}";5;M;7;6.4;1.5;67.2;#VALEUR!;2;80;5;15;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
168;1;167;;;;;2023/08/01 14:17:27.185;"{""Bc""}";2;D;19.7;7.4;2;291.56;#VALEUR!;2;60;30;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
169;1;168;;;;;2023/08/01 14:22:54.341;"{""Bc""}";5;D;11;4;2;88;88;1;70;20;10;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
170;1;169;;;;;2023/08/01 14:25:48.583;"{""Pl""}";2;D;3.8;3;0.7;7.98;#VALEUR!;2;60;30;10;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;8806;cp;2016;5;4500
