OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;longueur;largeur;hauteur;Volume;Volume_Formule;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
20;1;19;;;;;2023/08/01 10:26:54.109;"{""Ch""}";5;M;34;5;1;170;170;2;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
21;1;20;;;;;2023/08/01 10:34:28.471;"{""Bc""}";40;M;8.3;17.4;4;577.68;#VALEUR!;3;20;50;30;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
22;1;21;;;;;2023/08/01 10:38:56.903;"{""Bc""}";15;M;12.4;17.2;2;426.56;#VALEUR!;2;50;20;30;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
23;1;22;;;;;2023/08/01 10:43:34.662;"{""Bc""}";10;D;12.4;13.7;1;169.88;#VALEUR!;1;70;10;20;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
24;1;23;;;;;2023/08/01 10:45:47.927;"{""Bc""}";5;M;11.4;4.2;1;47.88;#VALEUR!;2;60;;40;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;8806;cp;2016;5;1500
25;1;24;;;;;2023/08/01 10:47:39.938;"{""Bc""}";1;P;11.3;1.5;0.5;8.475;#VALEUR!;1;60;;40;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
26;1;25;;;;;2023/08/01 10:52:01.967;"{""Bc""}";1;D;35;1;0.5;17.5;#VALEUR!;3;10;80;10;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
27;1;26;;;;;2023/08/01 11:09:05.403;"{""Pl""}";1;M;6;4;0.5;12;#VALEUR!;2;30;40;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;8806;cp;2016;5;2000
28;1;27;;;;;2023/08/01 11:12:42.781;"{""Ch""}";5;M;12;2;1;24;24;1;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
29;1;28;;;;;2023/08/01 11:17:01.020;"{""Ch""}";5;M;24;3;1.2;86.4;#VALEUR!;3;40;40;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
30;1;29;;;;;2023/08/01 11:23:01.473;"{""Ch""}";1;M;11;1;1;11;11;2;40;50;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
31;1;30;;;;;2023/08/01 11:25:04.254;"{""Ch""}";10;M;22;6;2;264;264;2;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
32;1;31;;;;;2023/08/01 11:30:40.936;"{""Pl""}";5;M;25;6;3;450;450;3;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
33;1;32;;;;;2023/08/01 11:36:20.977;"{""Pl""}";5;M;50;3;3;450;450;3;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
34;1;33;;;;;2023/08/01 11:43:14.173;"{""Pl""}";5;M;35;6;5;1050;1050;3;30;40;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
35;1;34;;;;;2023/08/01 11:48:29.342;"{""Bc""}";30;M;26;15;4;1560;1560;3;40;30;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;8806;cp;2016;5;2500
