FID;Join_Count;TARGET_FID;Id;Name;Elevation;GPS;Photos;Date;Position;Provenance;Longueur__;Largeur__m;Hauteur__m;Volume;Densité;F__Troncs;F__Branche;F__Racines;Secteur;Commentair;ObjectID;Id_1;Input_FID;Id_12;ORIG_FID;Id_12_13;lenght;type;annee;troncon;Distance
;1;;;2;67.231773;2;1546;2019-08-06 00:00:00;Pl;D;7;1.1;0.25;0.1925;F;95;5;;RG;;2;;;;;;8806;cp;2016;5;500
1;1;1;;3;71.441261;3;1547;2019-08-06 00:00:00;Bc;D;3.7;1.7;0.5;0.3145;F;95;5;;RG;;3;;;;;;8806;cp;2016;5;500
2;1;2;;4;72.248756;4;1548;2019-08-06 00:00:00;Bc;D;;;;;F;90;5;5;RG;;4;;;;;;8806;cp;2016;5;500
3;1;3;;5;76.727699;5;1549;2019-08-06 00:00:00;Bc;D;8.4;2;0.4;0.672;F;95;5;;RG;;5;;;;;;8806;cp;2016;5;500
4;1;4;;6;70.315941;6;1551;2019-08-06 00:00:00;Ch;P;9.9;1;0.6;0.594;F;80;10;10;RD;;6;;;;;;8806;cp;2016;5;500
5;1;5;;7;74.469604;7;1550;2019-08-06 00:00:00;Ch;P;6.3;3;0.7;1.323;F;80;15;5;RD;;7;;;;;;8806;cp;2016;5;500
6;1;6;;8;73.508911;8;1552;2019-08-06 00:00:00;Bc;D;5.5;4;0.45;0.99;F;90;5;5;RD;;8;;;;;;8806;cp;2016;5;500
7;1;7;;9;67.014313;9;1553;2019-08-06 00:00:00;Pl;M;5.6;4.3;0.7;1.6856;F;85;10;5;RD;;9;;;;;;8806;cp;2016;5;500
8;1;8;;10;69.590652;10;1554;2019-08-06 00:00:00;Ch;D;3.9;3.8;2;2.964;Mo;90;5;5;RG;;10;;;;;;8806;cp;2016;5;500
9;1;9;;11;72.665817;11;1555;2019-08-06 00:00:00;Ch;M;15.4;3.9;0.8;4.8048;Mo;85;10;5;RG;;11;;;;;;8806;cp;2016;5;500
10;1;10;;12;75.579376;12;1556;2019-08-06 00:00:00;Bc;D;8.8;0.65;0.5;0.286;F;95;5;;RG;;12;;;;;;8806;cp;2016;5;500
11;1;11;;13;70.098717;13;1557;2019-08-06 00:00:00;Bc;D;2.5;15.4;0.5;1.925;F;90;10;;RG;;13;;;;;;8806;cp;2016;5;500
12;1;12;;14;65.690536;14;1558;2019-08-06 00:00:00;Bc;D;26;0.8;0.7;1.456;F;90;8;2;RG;;14;;;;;;8806;cp;2016;5;500
13;1;13;;15;68.757729;15;1559;2019-08-06 00:00:00;Bc;D;16.4;3.1;0.8;4.0672;Mo;90;2;8;RG;;15;;1;;;;8806;cp;2016;5;1000
14;1;14;;16;75.389893;16;1560;2019-08-06 00:00:00;Ch;P;17.3;1.9;1.2;3.9444;F;90;5;5;RG;;16;;1;;;;8806;cp;2016;5;1000
15;1;15;;18;96.987526;18;1561;2019-08-06 00:00:00;Pl;D;2.8;5.1;1.8;2.5704;F;90;10;;RG;;17;;2;;;;8806;cp;2016;5;1500
16;1;16;;19;142.062637;19;1562;2019-08-06 00:00:00;Pl;D;1.9;2;1.1;0.418;Mo;85;10;5;RG;;18;;2;;;;8806;cp;2016;5;1500
